kanji,hiragana/katakana,persian,english
～にざっと目を通す,～にざっとめをとうす,نگاهی گذرا انداختن به ,look over
～に関して,～にかんして,راجع به ....,in regards to
～に向かって出発する,～にむかってしゅっぱつする,حرکت به سمت ,leave for
～に対して,～にたいして,برای ,"for , in the case of ~"
～の勘定,～のかんじょう,"صورتحساب ...
شمردن",
～の産地,～のさんち,منطقه تولید ...,
～の有無,～のうむ,وضعیت ,
～済んだ,～すんだ,... انجام شده,
～側,～がわ,سمت,side
～同士,～どうし,جمع بستن افراد,
０.２秒,ぜろてんにびょう,۲ دهم ثانیه, 0.2 seconds
1割,1わり,0.1, 10% (a tenth)
1日中,1にちちゅう,تمام روز," all day long, throughout the day"
１本,１ほん,یک لیوان," one (long, slender object) - counter for pencils, bottles, etc."
２級,２きゅう,سطح ۲," grade 2, level 2"
2次方程式,２じほうていしき,معادله درجه 2, quadratic equation
A分のB,AぶんのB,Aتقسیم بر B, B divided by A
IT技術者,ITぎじゅつしゃ,مهندس فناوری اطلاعات, IT engineer
IT系,ITけい,زمینه فناوری اطلاعات, IT related
転置する,てんちする,جابجایی, to transpose
"X,Y平面",X、Y へいめん,پلان," X,Y plane"
曖昧,あいまい,مبهم," ambiguous, vague"
アカントを追加,あかんとをついか,اضافه کردن حساب, to add an account
あき海老,あきえび,میگو آکی, autumn shrimp
欠伸,あくび,خمیازه, yawn
憧れる,あこがれる,تحسین کردن," to yearn for, to long for, to admire"
浅い,あさい,"کم عمق ، سطحی", shallow
亜種,あしゅ,گونه ( حیوانات), subspecies
あだ名,あだな,اسم کوچک, nickname
あっという間,あっというま,در یک عان," in an instant, in the blink of an eye"
甘酸っぱい,あまずっぱい,ترش و شیرین,sweet and sour
亜流,ありゅう,"مقلد ، تقلید کننده",
アルカリ性,アルカリせい,قلیایی,alkaline
アルバイト募集中,あるばいとぼしゅうちゅう,تمرکز روی کار پاره وقت,concentration on part-time job
あるF,あるF,یک F خاص,a certain F
泡,あわ,کف (صابون),
慌ただしい,あわただしい,کاری رو با بی قراری انجام بدی,
哀れだな,あわれだな,"رقت انگیز ، مایه تاسف",
安易,あんい,آسان,
意外,いがい,غیر منتظره,unexpected
いかにも,いかにも,"در واقع، حقیقتا","indeed, truly"
イカ切り身,いかきりみ,ماهی مرکب برش خورده,sliced squid
維持する,いじする,حفظ کردن,
偉大,いだい,"بزرگ، باشکوه","great, magnificent"
いたずらっ子,いたずらっこ,بچه بازیگوش,mischievous child
一種,いっしゅ,یک نوع,
いやいや仕事をする,いやいやしごとをする,به زور و اکراه کار کردن,to work reluctantly
イラスト参照,イラストさんしょう,به تصویر مراجعه کنید,see illustration
イラスト制作,いらすとせいさく,تولید تصویر,illustration production
インシデント対応,インシデントたいおう,پاسخ به حادثه,incident response
インターネット対応,インターネットたいおう,دسترسی به اینترنت,internet access
うつ伏せになる,うつぶせになる,رو به پایین دراز کشیدن,to lie face down
奪う,うばう,"ربودن، دزدیدن","to snatch away, to steal"
埋める,うめる,"دفن کردن، پر کردن","to bury, to fill"
裏,うら,پشت,
偉い,えらい,فوق العاده,
エリンギ茸,えりんぎたけ,قارچ شاه صدف,king oyster mushroom
お（尾）,しっぽ,دمب,
応援団,おうえんだん,گروه تشویق کننده,cheering squad
おがち様です,おがちさまです,(احتمالا یک احوالپرسی مودبانه یا نام),(likely a polite greeting or name)
惜しい,おしい,یکم دیگه میخواست فقط تا ...,
おせち料理,おせちりょうり,غذای جشن سال نو,New Year's feast
劣る,おとる,"پایینتر ، زیری",
おもてなしの心,おもてなしのこころ,مهمان نوازی,hospitality
お引き出し,おひきだし,برداشت (پول),withdrawal
お引き落とし,おひきおとし,"کسر، برداشت مستقیم","deduction, direct debit"
お越しください,おこしください,لطفا تشریف بیاورید,please come
お会いでき光栄です。,おあいできこうえいです。,از ملاقات شما مفتخرم,it's an honor to meet you
お悔やみ申し上げます,おくやみもうしあげます,تسلیت من را بپذیرید,my condolences
お願い,おねがい,"درخواست، لطف","request, favor"
お客様,おきゃくさま,"مشتری، مهمان","customer, guest"
お金を収める,おかねをおさめる,پول پرداخت کردن,to pay money
お見合い結婚,おみあいけっこん,ازدواج سنتی,arranged marriage
お見積書金,おみつもりしょきん,برآورد هزینه,
お言葉に甘える,おことばにあまえる,رو حرفت حساب می کنم,
お互いに助け合う,おたがいにたすけあう,به یکدیگر کمک کردن,to help each other
お祭り,おまつり,جشن,festival
お辞儀,おじぎ,تعظیم کردن,
お邪魔しますか,おじゃましますか,"ببخشید، مزاحم شدم؟","excuse me, am I disturbing you?"
お取り寄せになります,おとりよせになります,این یک سفارش ویژه خواهد بود,it will be a special order
お手数,おてすう,"زحمت، مزاحمت","trouble, inconvenience"
お祝い,おいわい,"جشن، تبریک","celebration, congratulations"
お祝い申し上げます,おいわいもうしあげます,"(عبارت متواضعانه برای ""گفتن"")","(humble expression for ""to say"")"
お巡りさん,おまわりさん,افسر پلیس,police officer
お尻,おしり,باسن,buttocks
お神輿,おみこし,زیارتگاه قابل حمل,portable shrine
お正月,おしょうがつ,روز سال نو,New Year's Day
お待たせしました。,おまたせしました。,ببخشید که منتظر گذاشتم,sorry to keep you waiting
お待ちのお客様,おまちのおきゃくさま,مشتریان منتظر,customers waiting
お待てさしました,おまてさしました,ببخشید که منتظر گذاشتم,sorry to keep you waiting
お大事に,おだいじに,زودتر خوب شو,
お知らせ,おしらせ,"اطلاعیه، اخطار","announcement, notice"
お得です,おとく,ارزش خوب,it's a good deal
お得意様,おとくいさま,مشتری وفادار,valued customer
お年寄り,おとしより,مسن,
お年玉,おとしだま,هدیه سال نو,
お風呂,おふろ,وان ,
お米,おこめ,برنج,rice
外交団,がいこうだん,هیئت دیپلماتیک,
解放感,かいほうかん,احساس رهایی,
香り,かおり,بوی خوب,
かける,１０に２をかける,ضرب,
過剰な,かじょうな,بیش از حد,
ガス会社お湯,がすかいしゃおゆ,آب گرم شرکت گاز,
片道,かたみち,مسیر یکطرفه,
過保護,かほご,بیش از حد محافظت شده,
カラー写真添付欄,カラーしゃしんてんぷらん,ستون پیوست عکس رنگی,
空っぽな,からっぽな,خالی,
可愛らしい,かわいらしい,"بامزه ، دوست داشتنی",
勘定,かんじょう,حساب کردن,
看病,かんびょう,مراجعه به پزشک,
基準法,きじゅんほう,روش استاندارد,
記念日,きねんび,سالگرد,
キャベツの芯,キャベツのしん,هسته کلم,
ぎゅうぎゅう詰め,ぎゅうぎゅうつめる,فشرده,
求婚,きゅうこん,پیشنهاد ازدواج,
嫌われる,きらわれる,منفور,
キング牧師,きんぐぼくし,پادشاه محترم,
くすくす笑う,くすくすわらう,دستت جلودهنت بخندی,
ぐっすり眠る,ぐっすりねむる,راحت بخواب,
諄い,くどい,"ورّاج ، پرحرف ،تکرار کنه حرفاشو",
繰り返す,くりかえす,تکرار,
クリックで拡大。,くりっくでかくだい。,برای بزرگنمایی کلیک کنید.,
警告,けいこく,"تذکر ، هشدار",
血液,けつえき,گروه خونی,
結合,けつごう,"ترکیب ، اتصال ، پیوند",Combination / Bonding / Union
ゲラゲラ笑う,ゲラゲラわらう,با صدای بلند بخند,
厳重な,げんじゅうな,سخت گیری,
建築,けんちく,معماری,
懸命,けんめい,"جدی ، سخت کوش",
建立,けんりつ,"ایجاد شدن (معبد ، زیارتگاه)",
濃い,こい,غلیظ,
強引に,ごういんに,به اجبار,
高価,こうか,گرانقیمت,
香水,こうすい,عطر,
ご苦労様,ごくろうさま,خسته نباشید( به پایین دستی),
越す,こす,"عبور کردن ، نقل مکان کردن",to cross / to move
国境,こっきょう,مرز,
この間,このあいだ,در طول این زمان,
この辺に,このへんに,این دور وبر,
コピーを取る,コピーをとる,کپی گرفتن,make copies
コピー機,こぴーき,دستگاه کپی,
ゴビ砂漠,ごびさばく,صحرای گبی,
ゴミを出す,ゴミをだす,زباله رو بیرون بزار,
こんなうちは嫌だ,こんなうちはいやだ,از این بار متنفرم,
"コンピューター
メンテナンス
作業","コンピューター
メンテナンス
さぎょう","کار تعمیر و 
نگهداری 
کامپیوتر",
混乱,こんらん,"سردرگمی ، گیج کننده",
ご遠慮,ごえんりょ,خودداری کردن,
ご希望の時間,ごきぼうのじかん,زمان مورد نظر,
ご紹介,ごしょうかい,معرفی,
ご清聴,ごせいちょう,لطفا با دقت گوش کنید,
ご都合,ごつごう,راحتی شما,
ご飯の蓋を外して,ごはんのふたをはずして,درب برنج را بردارید,
ご不在,ごふざい,غایب,
"ご無沙汰して
おります。",ごぶさたしております。,مدتی میشود.,
ご覧いただき,ごらんいただき,نگاهی بینداز,
ご利用,ごりよう,استفاده,
再三,さいさん,مکررا,
催促,さいそく,اصرار کردن به انجام سریع کاری,
サイバー攻撃,サイバーこうげき,حمله سایبری,
